color_code,unique_id,black_box,red_circle,green_triangle,blue_pentagon
1001_4B,shadow_9,"(113, 111, 125)","(79, 32, 33)","(54, 76, 65)","(53, 62, 91)"
7003_10,gamma_3,"(199, 193, 177)","(161, 60, 64)","(53, 95, 76)","(49, 65, 125)"
1004_4C,brightness_28,"(220, 205, 213)","(234, 106, 125)","(74, 140, 121)","(68, 86, 140)"
7001_19,noise_16,"(196, 187, 178)","(173, 32, 27)","(26, 118, 60)","(4, 35, 141)"
7002_10,brightness_1,"(177, 176, 164)","(132, 36, 40)","(29, 71, 52)","(27, 44, 103)"
1008_4a,gaussian_blur_23,"(167, 126, 130)","(100, 54, 59)","(70, 92, 81)","(67, 78, 113)"
2002_6B,hue_38,"(169, 106, 107)","(138, 8, 27)","(15, 86, 47)","(0, 23, 108)"
2001_5c,shadow_27,"(113, 85, 82)","(97, 59, 64)","(62, 78, 75)","(72, 77, 99)"
2011_4,gamma_12,"(138, 71, 57)","(161, 42, 36)","(29, 91, 52)","(7, 37, 109)"
2002_3B,clahe_6,"(201, 91, 83)","(176, 20, 30)","(18, 101, 53)","(31, 46, 92)"
1008_4a,gamma_3,"(198, 152, 155)","(210, 132, 130)","(130, 155, 139)","(104, 116, 153)"
1008_4B,noise_43,"(211, 173, 184)","(131, 38, 68)","(36, 84, 76)","(55, 73, 147)"
2002_6B,rotate_35,"(170, 121, 107)","(149, 44, 53)","(42, 86, 70)","(23, 43, 96)"
2002_6a,hue_2,"(194, 170, 130)","(187, 133, 100)","(95, 121, 129)","(125, 110, 166)"
1006_6B,gaussian_blur_23,"(177, 156, 170)","(106, 30, 54)","(11, 41, 39)","(10, 15, 46)"
8002_9c,gamma_30,"(206, 145, 123)","(218, 96, 85)","(36, 115, 77)","(31, 54, 123)"
2001_4B,gamma_39,"(170, 139, 155)","(121, 21, 33)","(23, 71, 46)","(3, 22, 93)"
8002_2B,brightness_19,"(189, 171, 185)","(166, 71, 91)","(51, 100, 85)","(34, 53, 102)"
7003_10,clahe_33,"(176, 158, 124)","(142, 34, 48)","(24, 65, 51)","(23, 34, 71)"
8002_1A,shadow_45,,"(38, 11, 21)","(29, 42, 43)","(14, 21, 44)"
1006_6C,brightness_10,"(223, 212, 213)","(191, 78, 103)","(68, 126, 109)","(58, 79, 139)"
4005_7A,shadow_27,"(97, 99, 96)","(74, 19, 17)","(9, 31, 16)","(2, 11, 37)"
2002_4B,motion_blur_22,"(197, 155, 142)","(126, 22, 22)","(12, 62, 39)","(5, 22, 79)"
2002_6C,rotate_35,"(184, 150, 142)","(138, 45, 55)","(30, 70, 55)","(15, 32, 84)"
1006_6B,brightness_1,"(255, 255, 255)","(248, 172, 222)","(120, 217, 206)","(92, 142, 252)"
1011_shadow,9,"(80, 39, 39)","(68, 12, 11)","(13, 33, 20)","(5, 14, 37)"
2003_6B,brightness_28,"(202, 160, 138)","(167, 77, 87)","(65, 105, 90)","(47, 61, 108)"
8007_3E,motion_blur_40,"(167, 165, 153)","(140, 51, 43)","(26, 59, 33)","(7, 17, 58)"
7001_21,hue_38,"(188, 161, 142)","(134, 37, 44)","(26, 56, 28)","(0, 13, 43)"
7001_21,clahe_24,"(212, 210, 198)","(144, 35, 25)","(23, 72, 42)","(15, 30, 85)"
P440_gaussian,blur_5,"(142, 185, 174)","(168, 30, 26)","(33, 78, 43)","(14, 30, 80)"
1001_4A,rotate_8,"(165, 138, 153)","(172, 21, 31)","(5, 89, 41)","(22, 37, 83)"
1004_4C,noise_16,"(227, 213, 220)","(200, 112, 131)","(97, 159, 140)","(74, 99, 174)"
8002_1A,shadow_9,"(128, 130, 142)","(97, 60, 82)","(65, 90, 94)","(38, 57, 111)"
2001_6B,brightness_19,"(241, 196, 175)","(170, 59, 57)","(49, 100, 73)","(41, 57, 114)"
2002_6B,shadow_63,"(112, 87, 73)","(91, 39, 38)","(34, 60, 44)","(32, 42, 69)"
1008_6C,brightness_19,"(228, 196, 193)","(173, 74, 91)","(63, 96, 86)","(58, 64, 105)"
2002_6C,gamma_39,"(155, 122, 124)","(105, 11, 20)","(12, 53, 31)","(1, 11, 72)"
4005_7A,hue_11,"(192, 212, 195)","(137, 9, 67)","(0, 69, 94)","(0, 69, 94)"
1008_6C,noise_16,"(220, 190, 183)","(205, 93, 107)","(62, 121, 102)","(49, 60, 122)"
8002_9B,rotate_44,"(177, 149, 156)","(118, 20, 31)","(20, 67, 41)","(2, 21, 89)"
2002_6B,gaussian_blur_68,"(166, 114, 93)","(133, 22, 21)","(19, 70, 40)","(2, 24, 87)"
8002-8F_gamma,3,"(120, 30, 25)","(173, 26, 21)","(30, 79, 45)","(12, 29, 85)"
1006_6a,shadow_36,"(54, 45, 50)","(52, 30, 32)","(24, 36, 34)","(27, 30, 46)"
1008_6a,rotate_35,"(147, 109, 109)","(166, 97, 95)","(59, 85, 75)","(50, 60, 96)"
2001_5c,rotate_44,"(179, 121, 110)","(164, 80, 83)","(74, 107, 97)","(78, 89, 134)"
1008_6a,rotate_44,"(152, 118, 117)","(169, 108, 106)","(67, 95, 82)","(66, 79, 110)"
6004_1A,gaussian_blur_32,"(174, 166, 147)","(126, 23, 26)","(9, 52, 39)","(4, 18, 55)"
2011_4,hue_20,"(105, 65, 28)","(161, 85, 47)","(26, 69, 51)","(15, 13, 80)"
2001_6C,rotate_8,"(225, 209, 238)","(206, 94, 142)","(48, 154, 134)","(30, 77, 246)"
4005_7A,clahe_33,"(181, 179, 167)","(143, 37, 53)","(34, 76, 64)","(26, 37, 77)"
2002_6C,brightness_19,"(243, 212, 193)","(184, 81, 82)","(67, 118, 97)","(61, 77, 136)"
1002_4B,clahe_33,"(207, 195, 205)","(183, 68, 88)","(53, 122, 104)","(53, 78, 151)"
2001_6B,rotate_71,"(189, 149, 139)","(128, 24, 24)","(20, 73, 45)","(2, 25, 93)"
1008_4a,brightness_10,"(211, 162, 165)","(221, 129, 133)","(97, 133, 118)","(97, 109, 153)"
2003_6B,hue_38,"(178, 101, 109)","(133, 12, 66)","(20, 81, 23)","(0, 61, 102)"
1008_6a,noise_16,"(164, 132, 134)","(180, 120, 120)","(80, 113, 103)","(64, 74, 124)"
2001_6B,gaussian_blur_5,"(187, 165, 177)","(168, 41, 51)","(22, 109, 75)","(5, 43, 140)"
1008_6C,brightness_37,"(140, 126, 120)","(75, 0, 13)","(1, 37, 21)","(8, 27, 88)"
1001_4B,rotate_44,"(149, 129, 138)","(153, 42, 41)","(18, 55, 30)","(2, 9, 50)"
2001_6C,gaussian_blur_41,"(207, 171, 174)","(120, 30, 53)","(23, 55, 50)","(37, 49, 110)"
8002_9B,gaussian_blur_59,"(210, 174, 153)","(138, 25, 24)","(18, 71, 37)","(9, 29, 84)"
8002_2B,clahe_15,"(215, 197, 207)","(208, 116, 134)","(82, 133, 113)","(37, 54, 99)"
2001_5c,noise_43,"(185, 131, 120)","(174, 90, 93)","(77, 117, 105)","(87, 99, 149)"
1001_4B,rotate_26,"(171, 155, 167)","(145, 37, 31)","(23, 72, 40)","(13, 31, 84)"
8002_10A,brightness_1,"(135, 115, 116)","(135, 54, 75)","(2, 25, 19)","(0, 0, 11)"
4005_7A,gamma_12,"(195, 198, 197)","(121, 18, 14)","(16, 64, 31)","(2, 19, 78)"
1004_4b,gaussian_blur_23,"(170, 150, 165)","(168, 88, 94)","(82, 115, 104)","(97, 109, 146)"
8002_2B,shadow_45,"(106, 96, 95)","(94, 46, 46)","(38, 53, 44)","(10, 12, 24)"
8002_12C,motion_blur_67,"(175, 127, 95)","(132, 18, 21)","(17, 68, 39)","(1, 21, 85)"
2003_6B,hue_2,"(196, 164, 144)","(179, 43, 27)","(5, 124, 116)","(0, 6, 169)"
7001_21,brightness_10,"(179, 174, 164)","(90, 0, 0)","(6, 27, 6)","(0, 0, 44)"
8002_12B,motion_blur_13,"(222, 180, 132)","(204, 59, 48)","(50, 114, 78)","(34, 54, 117)"
8002_7c,hue_20,"(180, 124, 141)","(147, 60, 106)","(53, 98, 122)",
8002_2c,brightness_10,"(198, 175, 203)","(178, 110, 123)","(112, 135, 136)","(122, 127, 165)"
8002_9c,motion_blur_40,"(241, 184, 161)","(232, 96, 88)","(94, 155, 119)","(119, 136, 187)"
2003_6C,clahe_60,"(211, 185, 162)","(134, 24, 22)","(19, 73, 42)","(13, 34, 91)"
2002_6B,hue_11,"(229, 137, 98)","(229, 35, 42)","(48, 130, 75)","(28, 61, 129)"
P480_motion,blur_4,"(20, 67, 108)","(196, 37, 27)","(40, 95, 54)","(24, 45, 107)"
1006_6C,noise_7,"(224, 221, 228)","(213, 126, 150)","(72, 144, 152)","(43, 81, 195)"
8002_9A,gamma_21,"(207, 200, 213)","(224, 145, 164)","(172, 209, 215)","(117, 142, 213)"
1008_6a,hue_20,"(138, 106, 101)","(158, 106, 91)","(50, 76, 71)","(42, 42, 84)"
4005_7A,noise_43,"(184, 177, 161)","(157, 56, 48)","(30, 72, 35)","(9, 18, 66)"
2002_6C,brightness_64,"(140, 109, 93)","(82, 0, 1)","(5, 31, 7)","(0, 0, 45)"
1002_4B,gamma_12,"(165, 152, 164)","(136, 50, 74)","(14, 45, 42)","(12, 17, 49)"
8002_9B,rotate_62,"(210, 174, 153)","(139, 25, 24)","(16, 70, 36)","(9, 29, 84)"
2002_6C,motion_blur_40,"(169, 138, 140)","(121, 19, 30)","(20, 69, 45)","(1, 19, 88)"
7003_10,rotate_17,"(198, 189, 158)","(133, 28, 24)","(22, 73, 41)","(8, 28, 90)"
4005_7A,clahe_15,"(201, 205, 205)","(139, 32, 36)","(29, 81, 46)","(14, 32, 94)"
2011_4,shadow_45,"(61, 44, 37)","(48, 15, 14)","(6, 21, 12)","(2, 5, 20)"
8002_12B,gamma_57,"(201, 163, 126)","(125, 16, 15)","(9, 57, 25)","(3, 20, 72)"
2002_4B,gamma_12,"(221, 168, 136)","(205, 54, 45)","(47, 109, 74)","(30, 49, 112)"
2001_6B,gamma_21,"(195, 150, 129)","(124, 21, 20)","(14, 57, 34)","(7, 20, 71)"
1002_4B,shadow_45,"(108, 103, 107)","(76, 46, 55)","(41, 55, 55)","(43, 51, 73)"
8002_9B,rotate_8,"(182, 177, 196)","(180, 47, 62)","(32, 127, 99)","(4, 53, 163)"
P350_motion,blur_4,"(195, 197, 133)","(170, 35, 32)","(34, 82, 50)","(19, 37, 90)"
1004_4C,shadow_27,"(105, 98, 102)","(72, 39, 50)","(39, 56, 56)","(45, 54, 87)"
1006_6B,noise_16,"(220, 199, 199)","(220, 117, 133)","(81, 149, 130)","(56, 73, 142)"
1008_4B,motion_blur_13,"(212, 160, 173)","(213, 96, 118)","(40, 90, 73)","(27, 33, 72)"
8002_9B,shadow_45,"(105, 93, 96)","(51, 9, 13)","(10, 30, 19)","(2, 9, 40)"
2002_6B,noise_61,"(198, 150, 125)","(186, 35, 33)","(26, 122, 60)","(18, 50, 142)"
2001_4B,shadow_45,"(91, 80, 86)","(42, 7, 11)","(9, 25, 17)","(2, 8, 33)"
8002_9B,hue_38,"(176, 152, 158)","(115, 23, 29)","(25, 69, 45)","(5, 22, 88)"
7002_17,gaussian_blur_14,"(218, 208, 187)","(132, 24, 21)","(28, 76, 44)","(3, 23, 85)"
2001_4B,clahe_60,"(203, 165, 152)","(152, 37, 45)","(31, 86, 52)","(20, 41, 99)"
2002_6B,gaussian_blur_14,"(216, 152, 109)","(217, 62, 50)","(56, 120, 83)","(34, 52, 117)"
1008_4a,gamma_12,"(172, 131, 134)","(182, 104, 107)","(76, 107, 94)","(76, 86, 125)"
1008_3C,brightness_1,"(190, 91, 91)","(170, 8, 22)","(4, 86, 36)","(16, 30, 78)"
2002_6B,gaussian_blur_59,"(189, 133, 103)","(145, 24, 22)","(17, 74, 37)","(11, 32, 91)"
2003_6B,rotate_17,"(222, 163, 106)","(209, 58, 50)","(52, 116, 81)","(40, 59, 126)"
1004_4C,brightness_1,"(218, 210, 249)","(210, 135, 187)","(59, 161, 150)","(22, 75, 247)"
8002_1A,brightness_19,"(222, 220, 225)","(196, 105, 123)","(85, 140, 127)","(81, 102, 159)"
8002_2c,noise_43,"(158, 145, 165)","(175, 102, 114)","(79, 120, 121)","(77, 93, 149)"
8002_9B,gamma_57,"(207, 169, 147)","(132, 21, 20)","(14, 65, 32)","(7, 24, 77)"
2001_5c,shadow_36,"(86, 65, 66)","(74, 38, 43)","(55, 71, 71)","(61, 67, 93)"
1001_4B,brightness_37,"(133, 116, 125)","(138, 34, 33)","(10, 45, 21)","(0, 5, 43)"
2001_5c,motion_blur_31,"(145, 99, 100)","(159, 82, 94)","(62, 95, 94)","(74, 87, 140)"
7003_10,motion_blur_31,"(172, 155, 121)","(128, 22, 26)","(12, 52, 39)","(5, 19, 55)"
2001_4B,rotate_53,"(191, 153, 146)","(130, 23, 24)","(16, 72, 41)","(5, 31, 98)"
4005_7A,brightness_19,"(193, 198, 193)","(150, 44, 41)","(23, 68, 38)","(11, 27, 78)"
8002_12C,rotate_35,"(170, 126, 105)","(142, 43, 53)","(41, 84, 68)","(12, 29, 80)"
8002_2c,hue_11,"(172, 150, 166)","(144, 89, 76)","(73, 86, 95)","(98, 86, 128)"
2002_6a,gaussian_blur_14,"(168, 116, 115)","(168, 87, 101)","(81, 108, 108)","(88, 94, 143)"
2001_6B,motion_blur_22,"(200, 157, 138)","(132, 27, 25)","(18, 66, 42)","(10, 25, 79)"
1001_4B,gamma_39,"(163, 145, 154)","(166, 56, 56)","(24, 68, 40)","(4, 16, 67)"
1008_4a,rotate_26,"(167, 126, 130)","(100, 53, 59)","(74, 94, 85)","(66, 78, 112)"
8002_2B,noise_43,"(177, 159, 155)","(164, 49, 50)","(33, 79, 51)","(32, 40, 73)"
2002_6a,brightness_10,"(119, 67, 66)","(119, 38, 52)","(31, 58, 59)","(39, 45, 96)"
8002_12B,rotate_35,"(191, 158, 139)","(143, 42, 52)","(32, 76, 60)","(11, 28, 78)"
1006_6a,rotate_35,"(171, 144, 158)","(167, 95, 103)","(78, 116, 109)","(85, 98, 146)"
4005_7A,hue_38,"(183, 180, 171)","(149, 78, 54)","(30, 62, 41)","(11, 10, 50)"
1008_5C,rotate_8,"(166, 95, 84)","(180, 23, 34)","(6, 89, 42)","(21, 33, 78)"
1004_4C,motion_blur_40,"(175, 156, 151)","(131, 39, 42)","(32, 57, 42)","(25, 26, 49)"
1008_3C,clahe_6,"(217, 121, 123)","(166, 15, 28)","(16, 95, 48)","(27, 42, 88)"
8002_12C,hue_20,"(170, 80, 90)","(123, 17, 73)","(14, 51, 9)","(3, 53, 66)"
1004_4b,gaussian_blur_41,"(149, 132, 150)","(147, 72, 82)","(65, 99, 93)","(67, 80, 127)"
8002_2B,motion_blur_13,"(220, 201, 210)","(211, 119, 137)","(89, 142, 121)","(37, 54, 99)"
7003_10,hue_20,"(196, 200, 167)","(148, 67, 39)","(25, 69, 48)","(7, 12, 76)"
2001_5c,gaussian_blur_14,"(174, 119, 114)","(156, 79, 89)","(77, 107, 103)","(94, 103, 144)"
8002_12C,gaussian_blur_5,"(216, 162, 120)","(200, 50, 43)","(53, 123, 64)","(29, 54, 125)"
1001_4B,gamma_3,"(195, 190, 219)","(179, 79, 78)","(65, 113, 89)","(64, 85, 148)"
2001_6B,motion_blur_49,"(189, 145, 132)","(129, 22, 23)","(16, 72, 41)","(5, 30, 96)"
2002_6B,motion_blur_22,"(172, 120, 91)","(128, 24, 21)","(17, 63, 38)","(6, 22, 75)"
8002-1B_rotate,8,"(187, 177, 204)","(158, 21, 17)","(19, 78, 46)","(3, 24, 91)"
7002_17,clahe_42,"(214, 199, 174)","(136, 40, 31)","(26, 61, 38)","(21, 24, 66)"
2001_3C,brightness_1,"(157, 66, 50)","(135, 0, 0)","(3, 55, 9)","(0, 1, 43)"
8002_1A,noise_43,"(203, 198, 206)","(125, 38, 69)","(30, 82, 78)","(45, 69, 141)"
8002_7c,gamma_3,"(175, 132, 140)","(136, 60, 70)","(54, 79, 79)","(57, 66, 112)"
2001_4B,noise_43,"(179, 151, 166)","(150, 27, 41)","(35, 101, 66)","(7, 31, 130)"
2001_4B,hue_47,"(178, 127, 118)","(116, 9, 14)","(7, 60, 28)","(0, 26, 84)"
2002_4B,hue_20,"(197, 154, 145)","(127, 23, 30)","(13, 63, 38)","(5, 26, 78)"
1008_4B,brightness_1,"(241, 206, 254)","(234, 169, 217)","(72, 168, 157)","(35, 85, 250)"
8002_9A,gaussian_blur_14,"(220, 206, 206)","(192, 67, 96)","(45, 109, 93)","(47, 70, 148)"
2001_5c,rotate_35,"(145, 99, 100)","(159, 81, 94)","(63, 95, 95)","(74, 87, 140)"
1006_6C,rotate_35,"(217, 207, 208)","(181, 70, 95)","(62, 119, 106)","(53, 76, 142)"
8002_2c,hue_2,"(164, 161, 174)","(154, 88, 140)","(78, 120, 128)",
8002_1A,rotate_26,"(222, 219, 226)","(191, 79, 103)","(59, 124, 109)","(51, 76, 145)"
7003_10,clahe_42,"(164, 155, 126)","(140, 36, 39)","(20, 54, 30)","(22, 23, 68)"
1006_6B,clahe_42,"(198, 173, 170)","(159, 50, 68)","(43, 100, 81)","(88, 108, 178)"
1008_5C,brightness_10,"(111, 54, 45)","(120, 0, 1)","(2, 51, 11)","(0, 4, 40)"
8002_1A,shadow_18,"(101, 100, 104)","(105, 64, 73)","(37, 53, 51)","(35, 37, 51)"
8002_12C,clahe_15,"(218, 157, 100)","(201, 54, 29)","(51, 113, 74)","(44, 61, 122)"
1006_6B,hue_29,"(215, 173, 209)","(194, 56, 146)","(47, 120, 152)",
1004_4C,hue_11,"(223, 223, 223)","(192, 109, 124)","(95, 136, 124)","(77, 92, 147)"
1004_4b,rotate_8,"(200, 176, 190)","(174, 93, 99)","(87, 120, 109)","(101, 111, 150)"
2001_6B,clahe_24,"(200, 157, 139)","(132, 27, 25)","(20, 68, 44)","(20, 35, 90)"
8002_2B,gamma_12,"(222, 204, 213)","(213, 124, 142)","(96, 147, 127)","(41, 59, 106)"
2001_5c,gaussian_blur_41,"(179, 121, 110)","(164, 79, 83)","(66, 101, 91)","(78, 89, 134)"
8002-8F_clahe,6,"(145, 50, 52)","(185, 36, 36)","(57, 110, 75)","(30, 50, 110)"
1002_4B,gamma_39,"(203, 191, 203)","(110, 30, 53)","(16, 52, 49)","(30, 49, 113)"
2002_4B,noise_52,"(199, 157, 144)","(143, 25, 25)","(19, 88, 47)","(5, 35, 112)"
2002_6C,clahe_51,"(190, 154, 135)","(132, 24, 27)","(18, 74, 43)","(7, 32, 98)"
2003_6B,noise_7,"(191, 164, 157)","(182, 43, 60)","(16, 133, 99)","(4, 52, 177)"
1004_4b,shadow_18,"(107, 96, 104)","(72, 42, 44)","(40, 49, 46)","(35, 37, 55)"
1008_4a,noise_43,"(192, 147, 152)","(208, 138, 135)","(116, 142, 127)","(75, 80, 116)"
2003_6C,brightness_64,"(193, 161, 139)","(99, 0, 1)","(10, 34, 11)","(0, 0, 48)"
7002_10,hue_38,"(180, 140, 128)","(147, 34, 94)","(14, 50, 6)","(0, 34, 53)"
2003_6B,shadow_63,"(120, 95, 75)","(94, 38, 39)","(29, 55, 39)","(6, 15, 42)"
2002_4B,clahe_24,"(200, 158, 145)","(131, 25, 29)","(20, 70, 47)","(18, 34, 93)"
1008_6C,clahe_15,"(181, 148, 140)","(175, 51, 59)","(37, 81, 67)","(36, 45, 91)"
2002_4B,clahe_60,"(202, 159, 141)","(136, 26, 18)","(25, 78, 42)","(16, 36, 90)"
4005_7A,hue_20,"(205, 207, 202)","(157, 37, 88)","(27, 71, 20)","(5, 59, 81)"
8002_10A,brightness_19,"(205, 184, 181)","(170, 59, 86)","(73, 120, 106)","(63, 80, 138)"
8002_2B,gamma_3,"(227, 217, 252)","(226, 173, 210)","(135, 196, 198)","(94, 135, 249)"
1002_4B,noise_7,"(228, 223, 252)","(221, 152, 196)","(98, 186, 176)","(71, 117, 250)"
2001_6C,clahe_6,"(205, 189, 218)","(192, 82, 128)","(20, 127, 107)","(5, 35, 204)"
2011_4,gaussian_blur_32,"(133, 65, 43)","(165, 41, 45)","(25, 72, 58)","(22, 36, 78)"
2002_6C,clahe_42,"(184, 152, 156)","(122, 19, 30)","(23, 74, 49)","(4, 21, 90)"
8002_7c,clahe_6,"(183, 139, 147)","(138, 62, 73)","(57, 82, 81)","(58, 67, 113)"
1004_4b,shadow_36,"(96, 90, 94)","(56, 30, 33)","(42, 53, 50)","(24, 27, 42)"
7002_17,motion_blur_22,"(216, 206, 179)","(153, 41, 35)","(18, 65, 34)","(5, 24, 77)"
1008_4B,gaussian_blur_32,"(220, 176, 188)","(199, 104, 125)","(107, 143, 127)","(77, 90, 131)"
8002_2c,brightness_28,"(145, 122, 149)","(114, 35, 49)","(35, 76, 68)","(53, 66, 119)"
1008_4a,rotate_17,"(172, 131, 134)","(181, 103, 106)","(75, 106, 93)","(75, 85, 124)"
2001_5c,gaussian_blur_32,"(145, 99, 100)","(159, 81, 94)","(62, 95, 94)","(75, 87, 140)"
2001_6C,brightness_28,"(164, 134, 138)","(106, 19, 45)","(1, 31, 30)","(0, 5, 38)"
2002_3c,motion_blur_31,"(178, 128, 126)","(149, 75, 87)","(67, 98, 94)","(69, 83, 126)"
2002_3c,hue_29,"(188, 115, 126)","(159, 65, 97)","(64, 108, 94)","(62, 95, 136)"
2011_4,rotate_17,"(125, 58, 44)","(149, 31, 27)","(26, 80, 44)","(4, 27, 96)"
4005_7A,gaussian_blur_23,"(195, 200, 195)","(150, 39, 35)","(22, 67, 36)","(4, 23, 74)"
2002_3c,clahe_24,"(177, 127, 125)","(131, 101, 102)","(63, 95, 90)","(68, 80, 128)"
8002_1A,hue_38,"(220, 209, 216)","(121, 64, 37)","(26, 45, 75)","(84, 44, 139)"
8002_9B,brightness_10,"(254, 255, 227)","(254, 116, 103)","(101, 178, 135)","(85, 108, 185)"
1008_4B,motion_blur_4,"(218, 188, 233)","(216, 155, 198)","(68, 154, 145)","(37, 81, 229)"
2001_4B,gaussian_blur_23,"(204, 169, 157)","(138, 31, 31)","(22, 69, 46)","(15, 30, 85)"
7002_10,noise_34,"(188, 174, 147)","(139, 36, 39)","(27, 70, 56)","(22, 35, 73)"
1011_gamma,3,"(140, 24, 24)","(192, 40, 37)","(40, 97, 62)","(19, 43, 108)"
1006_6C,clahe_6,"(216, 214, 221)","(198, 105, 129)","(49, 112, 119)","(41, 75, 179)"
2001_6B,hue_11,"(239, 163, 131)","(226, 38, 44)","(51, 128, 71)","(35, 66, 130)"
1008_4B,clahe_24,"(189, 135, 126)","(160, 45, 47)","(51, 82, 59)","(47, 50, 78)"
1004_4C,noise_7,"(230, 225, 252)","(224, 168, 209)","(109, 188, 178)","(84, 125, 247)"
2002_3c,gamma_30,"(184, 137, 135)","(157, 85, 95)","(76, 107, 103)","(79, 92, 136)"
2001_5c,hue_20,"(179, 101, 125)","(147, 56, 100)","(65, 108, 82)","(83, 120, 150)"
1002_4B,hue_2,"(218, 195, 254)","(238, 133, 175)","(76, 186, 201)","(34, 41, 252)"
8002_12B,shadow_36,"(94, 84, 78)","(45, 13, 16)","(23, 33, 30)","(3, 9, 25)"
8002_9B,brightness_28,"(176, 150, 146)","(136, 50, 57)","(43, 82, 68)","(23, 40, 86)"
8002_1A,rotate_17,"(176, 172, 180)","(184, 86, 109)","(18, 58, 52)","(13, 19, 53)"
P490_gaussian,blur_5,"(22, 82, 143)","(182, 35, 28)","(38, 90, 53)","(18, 40, 99)"
8002_12C,gaussian_blur_50,"(165, 118, 88)","(135, 24, 27)","(18, 76, 45)","(9, 37, 102)"
4005_7A,motion_blur_40,"(180, 173, 157)","(146, 51, 44)","(29, 62, 33)","(6, 13, 48)"
2002_4B,hue_56,"(191, 177, 153)","(127, 70, 37)","(21, 58, 46)","(19, 14, 71)"
7001_21,noise_43,"(204, 193, 179)","(170, 75, 67)","(55, 98, 64)","(12, 28, 103)"
7001_19,gamma_39,"(165, 152, 135)","(129, 41, 34)","(16, 49, 27)","(1, 9, 53)"
2002_3c,brightness_1,"(160, 115, 117)","(143, 71, 83)","(63, 92, 92)","(69, 81, 123)"
